paper,id,session,inter,c,opp_c,payoff,delta,g,l
synthetic_gpt-4o-mini,1,1,1,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0]",0.75,2.57142857142857,1.85714285714286
synthetic_gpt-4o-mini,2,1,1,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0]",0.75,2.57142857142857,1.85714285714286
synthetic_gpt-4o-mini,1,1,2,[1],[1],[1.0],0.75,2.57142853736877,1.85714280605316
synthetic_gpt-4o-mini,2,1,2,[1],[1],[1.0],0.75,2.57142853736877,1.85714280605316
synthetic_gpt-4o-mini,1,1,3,"[1, 1, 1]","[1, 1, 1]","[1.0, 1.0, 1.0]",0.5,2.0,2.0
synthetic_gpt-4o-mini,2,1,3,"[1, 1, 1]","[1, 1, 1]","[1.0, 1.0, 1.0]",0.5,2.0,2.0
synthetic_gpt-4o-mini,3,2,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9,0.33333333,0.11111111
synthetic_gpt-4o-mini,4,2,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9,0.33333333,0.11111111
synthetic_gpt-4o-mini,3,2,2,"[1, 1, 1]","[1, 1, 1]","[1.0, 1.0, 1.0]",0.75,0.08695652,0.56521739
synthetic_gpt-4o-mini,4,2,2,"[1, 1, 1]","[1, 1, 1]","[1.0, 1.0, 1.0]",0.75,0.08695652,0.56521739
synthetic_gpt-4o-mini,3,2,3,"[1, 1]","[1, 1]","[1.0, 1.0]",0.5,0.08695650100708,0.56521737575531
synthetic_gpt-4o-mini,4,2,3,"[1, 1]","[1, 1]","[1.0, 1.0]",0.5,0.08695650100708,0.56521737575531
